State,state_abbr,District,year,std12_letters_and_up,std12_numbers_and_up,std35_std1_and_up,std35_subtraction_and_up,private_6_14,out_of_school_6_14,in_school_3_4
Tamilnadu,TN,Cuddalore,2006,71.9,18.1,56.7,67.4,18.2,2,92.7
Tamilnadu,TN,Nagapattinam,2006,64.3,25.7,31.3,59,20.5,1.4,86.3
Tamilnadu,TN,Tiruvarur,2006,60.7,30.4,49.6,70.4,10.6,1.1,92
Tamilnadu,TN,Pudukkottai,2006,54.6,22.4,39.6,38.9,9.4,1.9,100
Tamilnadu,TN,Sivagangai,2006,57.9,51.6,78.5,73.3,13,0.4,93.3
Tamilnadu,TN,Madurai,2006,54.8,29.4,30.7,63.5,24.6,1.7,99.3
Tamilnadu,TN,Theni,2006,77.3,40.2,56,50.5,39.5,1.4,100
Tamilnadu,TN,Virudhunagar,2006,82,32.8,53.7,85,33.4,2.9,100
Tamilnadu,TN,Thoothukudi,2006,62.6,33.2,48.4,70,35.9,2.3,98.4
Tamilnadu,TN,Tirunelveli,2006,78,47.3,47.4,67.4,40.1,2,99.5
Tamilnadu,TN,Kanyakumari,2006,73.7,48.3,57.9,65,40.2,0.5,100
Uttarakhand,UK,Chamoli,2006,84.6,76.9,85.2,87.2,10.5,1.3,88.3
Uttarakhand,UK,Rudraprayag,2006,97.4,69.6,79.7,83.3,12.9,0.1,92.8
Uttarakhand,UK,Tehri Garhwal,2006,82.9,68.5,66.3,63.1,22.7,0.3,81.9
Uttarakhand,UK,Dehradun,2006,89.4,81.7,84.1,87.3,29.8,4.2,49.1
Uttarakhand,UK,Pithoragarh,2006,93.1,93,94.8,91.7,19,0.4,90.4
Uttarakhand,UK,Bageshwar,2006,96.3,80.4,87.8,80.4,8.5,2.9,77.3
Uttarakhand,UK,Nainital,2006,93.4,79.5,72.9,77.8,22.7,0.7,91.6
UP,UP,Saharanpur,2006,59.5,45.5,58.8,51.7,41,4.7,83.3
UP,UP,Muzaffarnagar,2006,71.1,64.8,63.4,68.1,42.7,10.9,60.7
UP,UP,Bijnor,2006,77.4,68.1,69.5,60.1,40.9,10.5,77.2
UP,UP,Moradabad,2006,69.7,52.9,62.1,55.4,38.4,11,54
UP,UP,Rampur,2006,83,59.6,77.4,55,35,10.2,54.5
UP,UP,Jyotiba Phule Nagar,2006,34.3,29.3,51.1,46.5,50.2,6.2,80.7
UP,UP,Meerut,2006,72.5,47.7,51.6,46.1,36.8,3.2,77.9
UP,UP,Baghpat,2006,81.5,62.3,81,79.5,49.2,4.2,73
UP,UP,Ghaziabad,2006,77.6,57.4,67.6,66.4,43.7,8,60.1
UP,UP,Gautam Buddha Nagar,2006,82.3,47.9,83.2,63.2,44.4,1.9,54.4
UP,UP,Bulandshahar,2006,77.8,58.2,62.3,61.2,44.3,6.2,65.8
UP,UP,Aligarh,2006,39.7,21.6,18.9,23.9,17.4,9.2,57.3
UP,UP,Hathras,2006,61.7,44.4,45.4,41.2,37.3,5.7,63.7
UP,UP,Mathura,2006,57.1,42.8,47.3,40,28.6,6.4,70.1
UP,UP,Agra,2006,56.5,37.3,45.3,43.4,41.6,3.8,83.3
UP,UP,Firozabad,2006,61.4,49.8,56.1,61.4,53,1.3,80.6
UP,UP,Etah,2006,35.6,25.3,38.2,39.3,35.3,2.9,52.7
UP,UP,Mainpuri,2006,68.3,63.4,81.3,65.5,43.8,1.8,55.5
UP,UP,Budaun,2006,50.2,41.4,41.6,39,15.6,15.3,28.7
UP,UP,Bareilly,2006,57,43.9,45.4,56.8,27.1,8.1,63.1
UP,UP,Pilibhit,2006,76.5,63.1,54,50.3,22.2,7.4,60.4
UP,UP,Shahjahanpur,2006,76.1,64.2,62,63.1,18.6,8.3,78.1
UP,UP,Hardoi,2006,59,36.6,49,40.5,21.5,4,75.4
UP,UP,Unnao,2006,66.4,59.8,35.9,38.8,26.7,4.4,87.9
UP,UP,Lucknow,2006,66.9,43.4,32.6,29.7,34.3,4.5,77.5
UP,UP,Rae Bareli,2006,60.8,40.9,39.1,34.3,30.4,7,56.1
UP,UP,Farukkhabad,2006,47,43.4,37.4,43.4,19,6.8,30.5
UP,UP,Kannauj,2006,51,43.4,36.9,36.9,33.4,5.3,53.1
UP,UP,Etawah,2006,80.8,80.8,81.2,71.3,34.2,0.1,66
UP,UP,Auraiya,2006,60.1,33,31.8,30.6,37,4.5,75.6
UP,UP,Jalaun,2006,75.6,50.5,57.8,48.2,33,1.2,54.9
UP,UP,Jhansi,2006,60,48.7,47.4,48.9,22.1,4.9,41.6
UP,UP,Lalitpur,2006,54,43.7,43.8,40.6,12.3,3.5,54.8
UP,UP,Hamirpur,2006,67,51,50.6,53.5,29.2,5.2,83.8
UP,UP,Mahoba,2006,72.9,51.1,56.3,51.4,18,6.3,64.6
UP,UP,Banda,2006,61.2,35.1,54,44,11.6,8,47.2
UP,UP,Chitrakoot,2006,69.9,50.9,50.3,47.3,18.1,8.7,64.6
UP,UP,Fatehpur,2006,78.5,50.4,62.7,64.1,27.2,5.2,70.3
UP,UP,Pratapgarh,2006,58.2,51.1,53.5,52.9,34.4,2.6,65.5
UP,UP,Kaushambi,2006,69,44.4,57.9,57.9,26.8,4.1,58.1
UP,UP,Allahabad,2006,38.9,35.3,59.4,57.6,23.4,5.2,47.3
UP,UP,Barabanki,2006,54.5,39.3,40.7,38.6,29.7,12.5,47.9
UP,UP,Faizabad,2006,68.9,54.1,54.2,58,35.6,2.5,68.6
UP,UP,Ambedkar Nagar,2006,43.6,29.4,45.8,33.4,22.4,2.4,54.7
UP,UP,Sultanpur,2006,61.4,52.7,52.1,50.5,25.8,3.6,75.7
UP,UP,Bahraich,2006,53.8,36.4,44.4,34,19.1,16.5,43.2
UP,UP,Shrawasti,2006,21.9,11.3,23.6,16.1,6.9,1,55.6
UP,UP,Balrampur,2006,50.7,43.5,31.8,33.4,15.6,11.8,29
UP,UP,Gonda,2006,66,47.4,59.8,47.7,24.9,7.2,37.3
UP,UP,Siddharthnagar,2006,57,46.1,47.9,47.2,15.8,8.3,65.1
UP,UP,Basti,2006,54,44.5,57.1,51.1,29.7,5.1,59.6
UP,UP,Sant Kabir Nagar,2006,58.5,51,55.3,50,32.5,6.9,51.7
UP,UP,Mahrajganj,2006,45.2,29.7,51,41.4,25.4,6.4,55.6
UP,UP,Gorakhpur,2006,51.1,35.9,48,40.3,36.1,4.5,51.9
UP,UP,Kushinagar,2006,50.8,27.3,48,35.6,27.8,5.5,60.1
UP,UP,Deoria,2006,46.9,31.2,49.4,43.8,49.5,3.3,71.4
UP,UP,Azamgarh,2006,37.6,30,50.6,46.3,37.3,2.8,52.5
UP,UP,Mau,2006,68,48.6,66.2,51.3,47.5,2.8,64.5
UP,UP,Ballia,2006,69.7,49.3,71.7,64.9,39.1,2.2,52
UP,UP,Jaunpur,2006,55.5,43,56.2,49.8,26.6,2,64.4
UP,UP,Ghazipur,2006,65.1,50.9,61.9,57.4,52.7,2.7,70.9
UP,UP,Chandauli,2006,69.3,34.8,54.3,43.7,37.7,4,58.8
UP,UP,Varanasi,2006,62.6,37.3,62.4,44.1,31.3,3.7,58.5
UP,UP,Sant Ravidas Nagar Bh,2006,58,46.1,50.2,45.3,31.8,4.3,50
UP,UP,Mirzapur,2006,68,43.2,50.8,44.7,20.3,6.7,43.6
UP,UP,Sonbhadra,2006,53.8,32.9,50.3,40,16,14.3,27.9
WB,WB,Darjiling,2006,88.4,79.2,76,73.3,29.1,3.9,68.9
WB,WB,Uttar Dinajpur,2006,79.2,69.5,76.2,76.1,1.8,6.8,55
WB,WB,Maldah,2006,92.6,78.2,74,70.5,8.8,9.4,80.4
WB,WB,Murshidabad,2006,90.9,87.7,80.7,92.3,1.6,7.4,95.8
WB,WB,Birbhum,2006,91.6,45,97.4,80.8,0.4,6.4,72.2
WB,WB,Bardhaman,2006,94.7,92.4,94.7,95.2,0.2,10.1,84.6
WB,WB,Nadia,2006,89.7,71.9,69.9,70.4,1.7,5.7,84.5
WB,WB,North 24 Parganas,2006,87.8,55.4,83,83.7,2.7,6.2,82.3
WB,WB,Bankura,2006,77.8,53.4,77.1,72.3,1,8.2,78.1
WB,WB,Puruliya,2006,91.6,49.8,96.1,91,1.5,3,90.5
WB,WB,Medinipur,2006,96.6,91.6,87.6,91.2,2.4,6,78.8
WB,WB,Howrah,2006,97.1,90.4,87.6,90.9,1.9,9.4,93.2
WB,WB,South 24 Parganas,2006,97,78.3,73.8,83.9,4.2,16.7,72.2
Andhra Pradesh,AP,Adilabad,2007,75,80.2,59.4,47.1,26.2,6.2,61.7
Andhra Pradesh,AP,Nizamabad,2007,79.9,80.4,74.6,66.9,27.6,1.9,84.3
Andhra Pradesh,AP,Karimnagar,2007,82.3,81.9,79.2,55.6,57.1,1.5,NA
Andhra Pradesh,AP,Medak,2007,75.6,81.3,65.3,55.1,24.8,4.1,83.2
Andhra Pradesh,AP,Rangareddy,2007,76.3,88.7,55.9,53.4,36.4,2.6,71.9
Andhra Pradesh,AP,Mahbubnagar,2007,72.1,78.7,70.3,55.3,25.3,5.7,66.4
Andhra Pradesh,AP,Nalgonda,2007,80.7,83.5,72.3,61.4,27.6,3.1,NA
Andhra Pradesh,AP,Warangal,2007,81,83.9,62.8,62,46.6,3.1,NA
Andhra Pradesh,AP,Khammam,2007,84.4,84.4,70.5,53.3,28.7,4.7,75.9
Andhra Pradesh,AP,Srikakulam,2007,81.9,84.6,81.9,78.4,18.1,3.2,70
Andhra Pradesh,AP,Vizianagaram,2007,87.1,92.7,83,77,19.9,4.7,92.9
Andhra Pradesh,AP,Visakhatnam,2007,73.6,74.9,65,53.4,18.6,3.5,89.6
Andhra Pradesh,AP,West Godavari,2007,86.3,94.5,71.4,58.1,31.9,7.1,68.3
Andhra Pradesh,AP,Krishna,2007,84.7,92.8,85.9,67.6,28,2.8,83.6
Andhra Pradesh,AP,Guntur,2007,83.9,87.9,83.9,70.4,34.9,5.4,82
Andhra Pradesh,AP,Nellore,2007,82,84.8,79.8,70.7,24.1,4.4,83.2
Andhra Pradesh,AP,Cuddapah,2007,91.6,93.5,85.6,81.4,37.5,3.8,80.5
Andhra Pradesh,AP,Kurnool,2007,77.8,83.8,70.3,63.2,26.4,9,64.2
Andhra Pradesh,AP,Anantapur,2007,77.9,82.6,67.6,58.1,21,6,85.5
Assam,AS,Kokrajhar,2007,79.6,78.3,75.2,68.9,16.3,2.8,89.3
Assam,AS,Dhubri,2007,82.5,88.6,59.2,55.6,11.7,8.1,56.1
Assam,AS,Goalpara,2007,68.6,78.5,39.3,30.3,12.1,6.4,72.5
Assam,AS,Bongaigaon,2007,90.5,93,69.1,62.3,16.1,2.5,27.1
Assam,AS,Barpeta,2007,90.5,83.9,73.8,67.4,11,1.6,83.7
Assam,AS,Kamrup,2007,87.2,94.3,71.6,52.8,11.7,3.4,78.3
Assam,AS,Nalbari,2007,95.6,88.5,68.9,71.9,6.2,7.1,92.8
Assam,AS,Darrang,2007,75.6,73.6,69.3,61,14.9,7,65
Assam,AS,Marigaon,2007,74.4,69.5,63.2,57.9,10.1,4.3,72.9
Assam,AS,Nagaon,2007,87.4,86,68.2,63.2,5.8,8.4,90.7
Assam,AS,Sonitpur,2007,52.9,64.7,51.4,38,13.5,7.2,80.7
Assam,AS,Lakhimpur,2007,88.9,93.5,79.2,69.1,10.3,3.6,56.4
Assam,AS,Dhemaji,2007,77.4,81.8,69.3,63.2,11.8,4,71.3
Assam,AS,Dibrugarh,2007,91.8,86.8,60.7,56.9,13.8,9.3,58.6
Assam,AS,Jorhat,2007,93.9,82.8,80,61.8,14.7,2.9,94
Assam,AS,Golaghat,2007,79.7,78.3,54.7,44.4,13.9,4.4,76.9
Bihar,BR,Pashchimi Champaran,2007,77,76,69.8,65.3,7.6,11.8,67.2
Bihar,BR,Purbi Champaran,2007,91.6,89,77.9,84.6,5.6,1.9,85.6
Bihar,BR,Sheohar,2007,60,55.6,48.5,48.6,3.6,9.9,44.4
Bihar,BR,Sitamarhi,2007,83.3,77.3,79.7,74.6,5.6,14.6,44.4
Bihar,BR,Madhubani,2007,78.4,72.1,70.5,72.2,3.5,3.5,63.3
Bihar,BR,Araria,2007,78,78.3,64,64.9,4,24,66.3
Bihar,BR,Kishanganj,2007,75.5,75.8,54.2,55.1,6.7,7.9,60.6
Bihar,BR,Purnia,2007,80.6,67,70.8,73.3,2.4,6.7,80
Bihar,BR,Katihar,2007,81.4,78,59.2,68.1,1.4,2.3,62.1
Bihar,BR,Saharsa,2007,83.5,81.8,82.6,76,9.2,10.8,40.7
Bihar,BR,Darbhanga,2007,82.4,75.2,61.3,65.7,7.5,8.8,76.5
Bihar,BR,Muzaffarpur,2007,64.1,62.5,55.4,47.4,6.2,3.2,39.7
Bihar,BR,Gopalganj,2007,78.8,80.5,70.3,79.1,9.9,6,99.5
Bihar,BR,Siwan,2007,70.8,65.4,56.7,52.1,17.6,2,74.6
Bihar,BR,Saran,2007,82.4,75.3,62.8,67.9,7.5,10.2,58.8
Bihar,BR,Vaishali,2007,63.6,58.9,69.4,69.7,14.4,0.6,89.8
Bihar,BR,Samastipur,2007,65.4,57.3,73.8,71.4,6.3,2.8,56.8
Bihar,BR,Begusarai,2007,84.3,88.2,78.7,87.8,12.3,7.7,86.9
Bihar,BR,Khagaria,2007,75.1,71.6,70.6,72.8,8.3,11.3,45.5
Bihar,BR,Bhagalpur,2007,71.3,67.8,64.8,72.6,4.8,4,NA
Bihar,BR,Banka,2007,62.8,58.9,61.2,62.3,2.9,5.9,74.7
Bihar,BR,Munger,2007,73.6,72,68.7,71.4,7.8,4.5,37.1
Bihar,BR,Lakhisarai,2007,76.9,79.5,78.6,80.1,1.9,1.9,37.1
Bihar,BR,Sheikhpura,2007,57.7,61.3,70,69.5,2.5,6.6,55.1
Bihar,BR,Nalanda,2007,67.6,66.5,67.3,63.6,11,7.6,64.2
Bihar,BR,Patna,2007,75.3,81.4,67.5,68.3,17.7,3,63.3
Bihar,BR,Bhojpur,2007,74.1,75.5,59.8,68.1,10.2,4.8,71.2
Bihar,BR,Buxar,2007,84.7,80.9,72.4,74.9,9.1,4,72.1
Bihar,BR,Rohtas,2007,76.4,73,65.9,63.3,14.2,5,73.2
Bihar,BR,Jehanabad,2007,75.4,83.7,74.9,70.6,5.6,2.1,68.4
Bihar,BR,Aurangabad,2007,92.1,90.1,89.2,90.8,4,4.3,96.4
Bihar,BR,Gaya,2007,57.6,58.3,65.1,60.1,9.3,5.2,67.6
Bihar,BR,Nawada,2007,75.9,80.4,78.8,81.3,6.4,13.6,46.1
Bihar,BR,Jamui,2007,74.8,69.9,74,76,3.6,1.6,56.5
Chattisgarh,CG,Koriya,2007,75.2,76.3,27.8,20.5,7.7,3.3,98.7
Chattisgarh,CG,Surguja,2007,71.4,73.2,47.5,43.3,7.3,4.3,80.9
Chattisgarh,CG,Jashpur,2007,89.1,90.3,70.2,63.2,13,0.7,86.3
Chattisgarh,CG,Raigarh,2007,75.3,76.4,59.7,36.3,12.2,3.7,82.5
Chattisgarh,CG,Korba,2007,71.4,75.9,48.5,36.8,4.8,5.2,84.8
Chattisgarh,CG,Bilaspur,2007,92.3,92.3,54.5,48.2,9.8,5.6,86.1
Chattisgarh,CG,Kawardha,2007,85.5,86.6,69.5,50.2,15.3,7.4,89.9
Chattisgarh,CG,Rajnandgaon,2007,84.2,87.8,71.6,63.3,5.2,4.3,85.4
Chattisgarh,CG,Durg,2007,87.5,86.8,66.3,51.2,4.7,3.2,91.9
Chattisgarh,CG,Raipur,2007,78.8,79.9,65.1,45.1,10.1,4.9,80.4
Chattisgarh,CG,Mahasamund,2007,75,82.9,66.6,62.5,4.8,4.8,88.6
Chattisgarh,CG,Dhamtari,2007,83.4,80.7,74,60.5,10.4,3,83.7
Chattisgarh,CG,Kanker,2007,80.6,79.3,64.5,56.4,4.1,6.1,91
Chattisgarh,CG,Bastar,2007,72.3,66.7,58,57.1,2.6,9,89.4
Goa,Goa,South Goa,2007,98.1,96.2,92.4,92.4,49.6,1,94.6
Gujarat,GJ,Kachchh,2007,72.5,76.3,54.5,56.7,3,6.7,82.9
Gujarat,GJ,Banas Kantha,2007,80.1,85.9,77.3,67.8,4,8.1,72.6
Gujarat,GJ,Patan,2007,92.4,93.6,82.5,85.7,11.4,0.9,52.1
Gujarat,GJ,Mehsana,2007,89.5,89.6,78.4,83.9,4.4,0.5,43.1
Gujarat,GJ,Sabar Kantha ,2007,79.2,75.2,57.9,52.3,2.4,3.7,79.3
Gujarat,GJ,Gandhinagar,2007,78.4,80.3,50,32,1.6,6.5,82.2
Gujarat,GJ,Ahmedabad,2007,83.8,75.3,63.3,49.7,10.2,4.6,76.9
Gujarat,GJ,Surendranagar,2007,92.3,93.1,82.1,74.1,1.2,2.7,95
Gujarat,GJ,Rajkot,2007,74.4,76.6,64.7,53.9,16.5,2.8,94.9
Gujarat,GJ,Jamnagar,2007,91.8,95.2,74,66.7,14.8,4.1,82.1
Gujarat,GJ,Porbandar,2007,87.5,85.2,67.8,54.9,6.7,4,97.3
Gujarat,GJ,Amreli,2007,89.9,91.7,76.2,64.7,8.7,4.6,55.6
Gujarat,GJ,Bhavnagar,2007,78.6,82.1,58.3,48,6.3,6.1,71.7
Gujarat,GJ,Kheda,2007,72.4,80.5,60,45.7,5.2,1.6,94.6
Gujarat,GJ,Panch Mahals,2007,74.8,76.5,52.2,46.4,1.7,2.4,88.8
Gujarat,GJ,Dohad,2007,76.6,83.5,56.1,45.2,5.4,3.6,90.6
Gujarat,GJ,Vadodara,2007,75,78.1,51.3,29.5,5.6,4.1,79.4
Gujarat,GJ,Narmada,2007,65.2,66.2,23.1,34,5.6,3.1,85.9
Gujarat,GJ,The Dangs,2007,63.5,71,50.9,36.3,2.3,9.1,84.8
Gujarat,GJ,Navsari,2007,99.4,96.1,77.8,74.3,3.4,0.4,67.3
Gujarat,GJ,Valsad,2007,84.2,85.3,61.8,40.8,4.9,2.5,84.2
Haryana,HR,Ambala,2007,81.6,84.2,62.9,65.1,40.3,1,82.6
Haryana,HR,Fatehabad,2007,66.9,72.1,68.4,61.2,34.5,3.2,96.3
Haryana,HR,Hisar,2007,71.8,75.6,71.8,70.7,38.2,3,NA
Haryana,HR,Jind,2007,78.3,69.7,66.4,65,31,2.6,81.8
Haryana,HR,Kaithal,2007,84,83.1,69.2,73.9,40.2,3,83.3
Haryana,HR,Karnal,2007,72.5,76.3,62.9,61.6,29.7,4.3,83.6
Haryana,HR,Kurukshetra,2007,80.4,83.6,67.5,67.6,37.3,2.1,NA
Haryana,HR,Mahendragarh,2007,76.8,78.2,79.7,77.8,42.2,1.8,90.6
Haryana,HR,Panchkula,2007,88.3,94.4,81.7,93.4,20.3,1.6,93.6
Haryana,HR,Rewari,2007,89,89,87.4,87.2,44.7,1.4,83.8
Haryana,HR,Sonipat,2007,95.7,93.4,85.6,86.7,45.5,1.9,90.8
Haryana,HR,Yamunanagar,2007,68.4,76.8,67.5,65.8,32.2,3.9,74.1
Haryana,HR,Mewat,2007,58.7,61.4,58.8,47.7,14.4,14.9,39.6
HP,HP,Bilaspur,2007,88.5,89.7,88.5,84.2,25.6,0.5,94.6
HP,HP,Chamba,2007,84.4,89.3,71.1,66.1,4.4,4.6,86.8
HP,HP,Hamirpur,2007,95.5,97.2,91.1,91.4,36,0,94.1
HP,HP,Kangra,2007,95,96.7,83.9,74.9,36.1,0.1,93.5
HP,HP,Kinnaur,2007,95.5,94.6,81.7,74.5,12.4,0.1,85.9
HP,HP,Kullu,2007,91.6,94.2,84.9,83.4,12,1,86.2
HP,HP,Lahul & Spiti,2007,85.5,89.2,88.5,78.5,13.3,1,90.4
HP,HP,Mandi,2007,95,95,90.1,89.5,19.3,1.1,96.7
HP,HP,Shimla,2007,99.5,99,95.3,92,21.3,0.9,79.2
HP,HP,Sirmaur,2007,87.3,89,68,66.4,10.9,1.6,89.8
HP,HP,Solan,2007,89,91.1,88.3,86.2,18.3,0.7,96.4
HP,HP,Una,2007,84.1,86.7,79.3,65.5,21.2,0.6,98.7
Jharkhand,JH,Palamu,2007,69.5,63.5,61.4,55.1,7.4,3.2,65.5
Jharkhand,JH,Chatra,2007,48.1,49.1,47.3,37.6,7.5,4,69.4
Jharkhand,JH,Hazaribagh,2007,89.3,85.6,71.8,68.2,24.5,1,87.8
Jharkhand,JH,Koderma,2007,85,87.2,73.5,71.6,19,2.1,76.2
Jharkhand,JH,Giridih,2007,67.2,69.1,77.8,74.5,14.5,4.5,56.2
Jharkhand,JH,Godda,2007,83,80.6,73,69.4,11,5,72.4
Jharkhand,JH,Sahibganj,2007,67.4,62.4,59.8,59.1,4.9,7,50.7
Jharkhand,JH,Pakur,2007,67.6,74.2,52.1,53.7,3.8,6.8,77.2
Jharkhand,JH,DUMKA,2007,89.7,84.8,58.9,65.2,0.4,12.2,46.6
Jharkhand,JH,Ranchi,2007,67.2,67.4,53,41.3,16,5.5,90
Jharkhand,JH,Lohardagga,2007,69,67.6,65.9,58.6,12.5,6.3,63.5
Jharkhand,JH,GUMLA,2007,79.1,74.7,73,54.8,7.8,3.5,88.5
Jharkhand,JH,East Singhbhum,2007,88.3,81.4,63.7,48.5,7.1,5.9,76.7
Jharkhand,JH,Sindega,2007,80.7,84,68.2,59.2,13.3,4.3,73.2
Karnataka,KA,Belgaum,2007,85,90.4,57.7,44.8,15.3,2.7,100
Karnataka,KA,Bagalkot,2007,78.5,77.1,62,33.3,12.1,1.7,100
Karnataka,KA,Bijapur,2007,69.3,65.3,52.3,36.7,6.5,1.9,98.3
Karnataka,KA,Gulbarga,2007,78.1,70.6,43.1,32.7,7.5,9.5,91.6
Karnataka,KA,Bidar,2007,70.1,68.6,43,28.9,14.5,4.6,94.5
Karnataka,KA,Raichur,2007,74.3,73.4,42.4,21,7.2,18.7,82.6
Karnataka,KA,Koppal,2007,64.8,71,44.6,21.8,15.8,5,90.7
Karnataka,KA,Gadag,2007,75.3,76,52.8,27,8,2.7,92.4
Karnataka,KA,Dharwad,2007,66.3,73.7,50.4,19.7,10,2,92.4
Karnataka,KA,Uttara Kannada,2007,100,98.5,76.2,75.5,3,0.3,89.1
Karnataka,KA,Haveri,2007,81.5,75.3,51.3,21.9,6.5,3.8,96.7
Karnataka,KA,Bellary,2007,67.8,66.2,44.7,40.2,10.4,7,97.1
Karnataka,KA,Chitradurga,2007,91,82,53,49.8,8.8,1.7,95.5
Karnataka,KA,Davangere,2007,77.4,78.4,44.3,37.3,17.1,3.8,91.3
Karnataka,KA,Shimoga,2007,85.9,77.9,72.5,52.6,7.7,2,93.3
Karnataka,KA,Udupi,2007,99.3,98.7,93.5,89.1,40.3,1,92.2
Karnataka,KA,Chikmagalur,2007,99.4,95.7,63.4,56.5,6.9,3.3,62.8
Karnataka,KA,Tumkur,2007,91.2,88.8,58.2,39.7,13.7,0.6,91.2
Karnataka,KA,Kolar,2007,92.5,88.2,57.2,52.6,10.7,1.9,100
Karnataka,KA,Bangalore,2007,82.8,88.8,59.7,51.3,27.8,0.9,97
Karnataka,KA,Bangalore Rural,2007,85.1,84,66.9,57.5,12.7,0.4,94.2
Karnataka,KA,Mandya,2007,98.8,95.2,56.3,52.3,1,0.1,97
Karnataka,KA,Hassan,2007,96.4,94.9,78.3,59,8,2.4,95.6
Karnataka,KA,Dakshina Kannada,2007,98.9,97.7,73.9,59.4,18.4,0.9,95.6
Karnataka,KA,Kodagu,2007,93.6,90.4,70.8,55.6,18.2,1,100
Karnataka,KA,Mysore,2007,74.4,82,40,35.1,12.4,2.9,74.3
Karnataka,KA,Chamarajanagar,2007,89.9,90.6,65.8,58,8.1,2.6,100
Kerala,KL,Kannur,2007,95.7,94.3,79.3,66.4,68.3,1,95.4
Kerala,KL,Wayanad,2007,95.1,93.6,70.6,25.3,49.3,0.4,NA
Kerala,KL,Kozhikode (Calicut),2007,96.9,96.3,91.8,75,58,0.3,96.6
Kerala,KL,Malappuram,2007,96.8,94.6,72.9,67.6,55.4,0.4,77.5
Kerala,KL,Palakkad,2007,95.1,95.1,77.6,74.7,36.1,0.4,84.8
Kerala,KL,Thrissur,2007,98.1,99,83.9,68.2,62.7,0.2,93.9
Kerala,KL,Ernakulam,2007,98.8,96.9,90.3,72.2,79.1,0.6,93.7
Kerala,KL,Alappuzha ,2007,98.3,95.4,88.1,84.4,51.9,0,95.5
Kerala,KL,Pathanamthitta,2007,90.5,97.5,74,74.3,62.9,0,95.1
Kerala,KL,Kollam,2007,99.1,100,84.7,78.9,41.8,0.4,100
Kerala,KL,Thiruvananthapuram,2007,98.5,97.7,87.9,76.5,35.9,0.4,100
MH,MH,Nandurbar,2007,69.7,69.4,71.6,44.6,15.8,9.2,95
MH,MH,Dhule,2007,90.8,92.1,84.3,33,40,2.7,97.6
MH,MH,Jalgaon,2007,99.1,99.5,91.4,61.2,27.8,1.1,97.7
MH,MH,Buldana,2007,95.2,95.7,85.5,84.7,13.6,1.4,91.9
MH,MH,Akola,2007,77.2,79,87.9,73.8,31.4,3.4,100
MH,MH,Washim,2007,91,94.8,81.6,76,23.5,1.6,95
MH,MH,Amravati,2007,87.2,87.7,76,52.4,38.5,1.1,97.6
MH,MH,Wardha,2007,95.9,92.7,88.4,67.2,26,1.2,98.5
MH,MH,Nagpur,2007,92.4,93,83.2,67,41.7,0.4,99.1
MH,MH,Bhandara,2007,96.1,95.4,92.2,71.7,36.5,0.9,93.1
MH,MH,Gondiya,2007,95.6,95.1,82.3,63.3,21.2,0.4,99.5
MH,MH,Gadchiroli,2007,87.7,87.7,76.6,71.4,27.3,4.4,86.8
MH,MH,Chandrapur,2007,84.2,82.9,73.2,43.3,24.2,2.4,98
MH,MH,Yavatmal,2007,89.4,88.8,77.6,56.1,25,2.3,95.7
MH,MH,Nanded,2007,93.4,94.1,81.4,59.1,21.6,2.8,95.6
MH,MH,Parbhani,2007,91.3,91.2,86.5,75.5,25.1,3.5,89.2
MH,MH,Jalna,2007,90.5,92.1,83.9,76.2,13.1,0.2,86.3
MH,MH,Aurangabad,2007,79.1,88.2,68.5,38.9,22.5,3.4,87.5
MH,MH,Nashik,2007,86.7,90.4,76,46.5,18.2,2.2,77.1
MH,MH,Thane,2007,97.2,97.2,89.3,72.4,23.4,4.3,93.6
MH,MH,Raigarh,2007,94.8,97.1,93.5,86.2,36.4,1.8,99.3
MH,MH,Pune,2007,91.6,90.6,84.5,76.7,27.9,0.5,100
MH,MH,Ahmednagar,2007,97,97.3,95.7,76.2,37.2,0.7,99.4
MH,MH,Bid,2007,92.1,93,92.5,74.3,18.2,2.5,88.2
MH,MH,Latur,2007,90.5,92.7,82.8,73.9,20.8,0.5,98.9
MH,MH,Osmanabad,2007,92.2,95.3,89.6,69.6,25.6,1.1,91.5
MH,MH,Solapur,2007,97.1,97.9,92.4,82.8,30.5,2.3,93.3
MH,MH,Satara,2007,99.1,97.8,89.4,83.2,26.7,1,95.3
MH,MH,Ratnagiri,2007,97.8,97.2,86.4,73.3,5.9,0.5,93.3
MH,MH,Sindhudurg,2007,100,98.9,95.9,85.6,7.9,0.5,93.4
MH,MH,Kolhapur,2007,93.2,93.2,83,72,21.9,0.5,83.7
Manipur,MN,Churachandpur,2007,98.6,99.1,96.4,90,83.6,1.6,6.9
Manipur,MN,Bishnupur,2007,93.9,93.1,72.1,85.4,62.3,7,61
Manipur,MN,Thoubal,2007,100,100,96.1,99.5,64.7,0.7,97.9
Manipur,MN,Imphal West,2007,97,99,62.8,81.3,63.7,12.2,83.1
Manipur,MN,Imphal East,2007,100,100,75.1,84.1,62.2,0.8,77.2
Meghalaya,ML,West Garo Hills,2007,97.5,97.2,75.6,77,21.5,9.9,NA
Nagaland,NL,Mokokchung,2007,99.4,100,83,72.5,46,0.9,NA
